edges,b1,b2,b3,b4
1699,0.00,0.01,0.00,0.01
5100,0.00,0.00,0.01,0.00
15300,0.01,0.01,0.01,0.01
45900,0.01,0.01,0.02,0.01
137700,0.03,0.03,0.03,0.03
1444150,0.23,0.27,0.27,0.22
