edges,b1,b2,b3,b4
1699,0.24,0.20,0.19,0.02
5100,0.16,0.16,0.13,0.13
15300,0.06,0.12,0.12,0.13
45900,0.13,0.10,0.20,0.10
137700,0.15,0.14,0.13,0.12
1444150,0.55,0.50,0.55,0.35
