edges,b1,b2,b3,b4,median
33999,0.06,0.05,0.05,0.06,0.055
102000,0.06,0.08,0.07,0.06,0.065
306000,0.1,0.09,0.09,0.09,0.09
918000,0.14,0.12,0.13,0.12,0.125
2754000,0.33,0.32,0.96,0.25,0.325
8262000,0.82,0.83,0.9,0.82,0.825
24786000,1.98,2.12,2.09,2.14,2.105
