edges,b1,b2,b3,b4,median
33999,0.49,0.38,0.42,0.59,0.455
102000,0.42,0.33,0.6,0.24,0.375
306000,0.5,0.26,0.31,0.24,0.285
918000,0.36,0.3,0.33,0.19,0.315
2754000,0.43,0.68,0.81,0.59,0.635
8262000,1.3,1.27,1.23,1.35,1.285
24786000,3.26,3.11,3.06,3.14,3.125
