edges,b1,b2,b3,b4,median
33999,0.03,0.04,0.03,0.03,0.03
102000,0.04,0.05,0.04,0.04,0.04
306000,0.06,0.06,0.07,0.06,0.06
918000,0.1,0.1,0.09,0.1,0.1
2754000,0.21,0.22,0.22,0.23,0.22
8262000,0.63,0.62,0.6,0.61,0.615
24786000,1.69,1.67,1.68,1.68,1.68
