edges,b1,b2,b3,b4,median
33999,0.04,0.04,0.04,0.04,0.04
102000,0.05,0.04,0.05,0.05,0.05
306000,0.08,0.07,0.06,0.05,0.065
918000,0.11,0.1,0.13,0.11,0.11
2754000,0.24,0.22,0.22,0.23,0.225
8262000,0.75,0.7,0.69,0.69,0.695
24786000,1.82,1.83,1.96,1.93,1.88
