edges,s1,s2,s3,s4,s5
3000,116304,116494,116298,116962,117171
52650,218451,218350,219575,218749,218336
102300,317629,317494,319145,316934,317031
151950,415974,415269,416112,416381,415996
201600,514810,515561,514526,516007,513575
251250,613902,612869,613964,614336,612822
300900,711249,709532,710437,710128,712458
350550,810032,806401,809103,808740,810834
400200,906574,903157,907218,907338,908258
449850,1002364,1000913,1004538,1003943,1004154
499500,1100545,1098226,1102695,1099164,1100670
