edges,s1,s2,s3,s4,s5
3000,29076,28864,28748,28574,28897
52650,133139,133360,133623,133329,133294
102300,233457,233547,233880,233804,233591
151950,333123,333518,333853,333568,333385
201600,432626,432897,433301,433344,433032
251250,532286,532295,532681,532698,532284
300900,631624,631431,631588,632109,631867
350550,730658,729944,730948,730563,730705
400200,829626,829279,830233,829781,830088
449850,928591,928047,928865,928618,928973
499500,1026796,1026754,1027688,1027203,1027464
