edges,s1,s2,s3,s4,s5
3000,0.001347,0.001348,0.001362,0.001308,0.001333
52650,0.007756,0.00929,0.007572,0.007308,0.007606
102300,0.013016,0.013052,0.013151,0.015736,0.013454
151950,0.021415,0.023854,0.022211,0.021763,0.02263
201600,0.038998,0.042132,0.034446,0.034904,0.036898
251250,0.052312,0.049371,0.052113,0.057849,0.048047
300900,0.071569,0.063401,0.064923,0.064962,0.063519
350550,0.079032,0.085359,0.081027,0.077856,0.098669
400200,0.096327,0.107545,0.093745,0.111496,0.09251
449850,0.1152,0.109839,0.10857,0.109224,0.107372
499500,0.121455,0.122541,0.140944,0.120418,0.123179
