edges,s1,s2,s3,s4,s5
3000,0,0.000777,0.001549,0.002022,0.00183
52650,0.016849,0.008806,0.007872,0.007784,0.007718
102300,0.014642,0.015187,0.014279,0.015462,0.017164
151950,0.028631,0.02778,0.032577,0.033179,0.030969
201600,0.04218,0.035062,0.038093,0.031429,0.031946
251250,0.047198,0.059784,0.046384,0.046672,0.050976
300900,0.059886,0.058757,0.058369,0.061705,0.069072
350550,0.092294,0.076007,0.072106,0.083238,0.07193
400200,0.091237,0.103342,0.097883,0.096213,0.092702
449850,0.119203,0.099368,0.102446,0.102635,0.101656
499500,0.113026,0.141087,0.114487,0.115773,0.113671
