edges,s1,s2,s3,s4,s5
3000,0.00137,0.00128,0.001351,0.00134,0.001499
52650,0.009224,0.007444,0.006798,0.008846,0.008204
102300,0.015404,0.013389,0.013351,0.014712,0.014838
151950,0.026002,0.025881,0.024618,0.022803,0.033247
201600,0.033001,0.040102,0.036216,0.038411,0.033017
251250,0.053317,0.046646,0.048405,0.048642,0.056822
300900,0.062803,0.061833,0.061037,0.070815,0.069048
350550,0.077838,0.079077,0.077712,0.077585,0.07684
400200,0.094251,0.090348,0.094244,0.092105,0.117373
449850,0.104655,0.105128,0.120621,0.113139,0.106377
499500,0.137133,0.126036,0.120295,0.127778,0.124439
