edges,s1,s2,s3,s4,s5
3000,0.001291,0.00161,0.001541,0.00142,0.00175
52650,0.00781,0.007571,0.00937,0.009664,0.0098
102300,0.018074,0.014135,0.014568,0.013611,0.013431
151950,0.021885,0.022027,0.022332,0.021959,0.028778
201600,0.034576,0.035598,0.034962,0.044618,0.035968
251250,0.048941,0.050436,0.049418,0.052421,0.051997
300900,0.067251,0.064709,0.062334,0.063042,0.064534
350550,0.084551,0.076861,0.074621,0.079898,0.078401
400200,0.092688,0.090685,0.091459,0.089799,0.096208
449850,0.116584,0.10873,0.108611,0.11162,0.110012
499500,0.133572,0.120439,0.119869,0.141426,0.138498
