edges,s1,s2,s3,s4,s5
3000,47863,48299,48151,47669,47832
52650,228218,224918,195179,217147,192901
102300,305859,318940,306418,284945,314333
151950,417506,399909,401128,414775,414627
201600,497761,520559,495878,551378,552803
251250,606682,595124,615976,575129,585579
300900,670425,679567,672963,672108,688762
350550,782504,775452,782590,772936,804834
400200,858346,871685,875287,854540,870376
449850,965443,972646,983949,962267,980034
499500,1073221,1079751,1093820,1058137,1078359
