edges,s1,s2,s3,s4,s5
3000,0.002893,0.001903,0.001476,0.002914,0.002956
52650,0.009027,0.00911,0.009245,0.009291,0.010608
102300,0.018063,0.021736,0.017011,0.014641,0.015082
151950,0.024056,0.027371,0.025549,0.031127,0.026458
201600,0.035477,0.035625,0.034473,0.049785,0.045393
251250,0.051694,0.04992,0.049893,0.050489,0.053395
300900,0.067337,0.066155,0.064072,0.068085,0.066732
350550,0.081394,0.077767,0.076378,0.083074,0.085589
400200,0.092674,0.094117,0.093481,0.095595,0.095038
449850,0.108056,0.108863,0.109509,0.110762,0.110554
499500,0.126701,0.123126,0.127228,0.123647,0.123555
