edges,b1,b2,b3,b4
169,0.27,0.26,0.24,0.28
510,0.01,0.13,0.16,0.14
1530,0.15,0.09,0.07,0.14
4590,0.06,0.06,0.11,0.13
13770,0.14,0.10,0.12,0.22
14365,0.23,0.04,0.10,0.10
