edges,b1,b2,b3,b4
101999,0.25,0.30,0.25,0.31
306000,0.22,0.22,0.22,0.21
918000,0.20,0.21,0.19,0.21
2754000,0.34,0.34,0.29,0.40
8262000,0.73,0.82,0.80,0.86
24786000,2.13,2.08,1.95,2.02
74358000,5.26,5.35,5.28,5.35
