edges,b1,b2,b3,b4
101999,0.08,0.08,0.08,0.08
306000,0.11,0.10,0.10,0.11
918000,0.14,0.23,0.14,0.14
2754000,0.24,0.24,0.24,0.26
8262000,0.56,0.55,0.55,0.55
24786000,1.54,1.52,1.54,1.53
74358000,4.15,4.15,4.30,4.15
