edges,b1,b2,b3,b4
101999,0.80,0.70,0.61,0.74
306000,0.43,0.43,0.42,0.46
918000,0.41,0.43,0.45,0.43
2754000,0.65,0.69,0.69,0.55
8262000,1.28,1.21,1.24,1.22
24786000,3.09,3.14,2.98,3.02
74358000,8.09,8.43,8.70,8.22
