edges,b1,b2,b3,b4,median
101999,0.04,0.04,0.04,0.04,0.04
306000,0.05,0.05,0.05,0.04,0.05
918000,0.08,0.08,0.06,0.07,0.075
2754000,0.13,0.12,0.12,0.12,0.12
8262000,0.25,0.25,0.25,0.25,0.25
24786000,0.79,0.77,0.83,0.77,0.78
74358000,2.05,1.87,1.88,1.97,1.925
