edges,b1,b2,b3,b4,median
101999,0.04,0.04,0.04,0.04,0.04
306000,0.05,0.05,0.05,0.05,0.05
918000,0.07,0.07,0.06,0.07,0.07
2754000,0.12,0.12,0.12,0.12,0.12
8262000,0.25,0.25,0.25,0.24,0.25
24786000,0.64,0.66,0.66,0.62,0.65
74358000,1.73,1.75,1.77,1.76,1.755
