edges,b1,b2,b3,b4,median
101999,0.22,0.23,0.14,0.27,0.225
306000,0.19,0.22,0.25,0.21,0.215
918000,0.25,0.34,0.16,0.26,0.255
2754000,0.32,0.39,0.38,0.37,0.375
8262000,0.62,0.74,0.73,0.61,0.675
24786000,1.48,1.34,1.4,1.45,1.425
74358000,3.4,3.44,3.43,3.43,3.43
