edges,b1,b2,b3,b4,median
101999,0.05,0.05,0.06,0.04,0.05
306000,0.07,0.06,0.07,0.07,0.07
918000,0.1,0.09,0.1,0.08,0.095
2754000,0.18,0.18,0.14,0.16,0.17
8262000,0.39,0.31,0.38,0.37,0.375
24786000,0.86,0.87,0.89,0.91,0.88
74358000,2.22,2.32,2.31,2.35,2.315
