Edges,1 Thread,2 Threads,4 Threads,12 Threads
101999,0.08,0.15,0.28,0.72
306000,0.11,0.16,0.22,0.43
918000,0.14,0.15,0.21,0.43
2754000,0.24,0.26,0.34,0.67
8262000,0.55,0.6,0.81,1.23
24786000,1.54,1.56,2.05,3.06
74358000,4.15,4.47,5.32,8.33
