Edges,1 Thread,2 Threads,4 Threads,12 Threads
101999,0.04,0.04,0.05,0.23
306000,0.05,0.05,0.07,0.22
918000,0.07,0.08,0.10,0.26
2754000,0.12,0.12,0.17,0.38
8262000,0.25,0.25,0.38,0.68
24786000,0.65,0.78,0.88,1.43
74358000,1.76,1.925,2.32,3.43
