edges,b1,b2,b3,b4
3399,0.00,0.00,0.00,0.00
10200,0.00,0.01,0.00,0.00
30600,0.01,0.01,0.01,0.01
91800,0.01,0.01,0.01,0.01
275400,0.02,0.02,0.02,0.02
5778300,0.37,0.36,0.37,0.38
