edges,b1,b2,b3,b4
3399,0.00,0.00,0.00,0.00
10200,0.01,0.01,0.01,0.00
30600,0.01,0.01,0.00,0.01
91800,0.01,0.01,0.02,0.01
275400,0.03,0.03,0.03,0.03
5778300,0.56,0.48,0.57,0.47
