edges,b1,b2,b3,b4
339,0.16,0.26,0.15,0.22
1020,0.06,0.11,0.03,0.11
3060,0.13,0.09,0.11,0.02
9180,0.10,0.10,0.04,0.07
27540,0.08,0.14,0.04,0.17
57630,0.10,0.16,0.11,0.11
