edges,b1,b2,b3,b4
33999,0.14,0.15,0.14,0.16
102000,0.15,0.16,0.15,0.15
306000,0.15,0.14,0.14,0.14
918000,0.24,0.26,0.25,0.25
2754000,0.54,0.54,0.57,0.54
8262000,1.80,1.63,1.47,1.53
24786000,4.42,4.38,4.42,4.33
