edges,b1,b2,b3,b4
33999,0.52,0.76,0.61,0.52
102000,0.42,0.45,0.43,0.49
306000,0.47,0.49,0.44,0.42
918000,0.63,0.63,0.66,0.72
2754000,1.36,2.00,1.20,1.35
8262000,2.99,2.90,3.39,2.88
24786000,7.91,8.47,8.06,8.13
