edges,b1,b2,b3,b4
33999,0.20,0.20,0.22,0.17
102000,0.23,0.21,0.23,0.21
306000,0.23,0.21,0.22,0.21
918000,0.40,0.29,0.28,0.30
2754000,0.82,0.82,0.78,0.83
8262000,1.96,1.99,1.89,1.97
24786000,5.13,5.40,5.16,5.46
