edges,b1,b2,b3,b4,median
16999,0.03,0.04,0.04,0.03,0.035
51000,0.04,0.04,0.04,0.04,0.04
153000,0.06,0.06,0.06,0.06,0.06
459000,0.1,0.12,0.1,0.1,0.1
1377000,0.23,0.28,0.22,0.22,0.225
4131000,0.7,0.68,0.77,0.7,0.7
12393000,1.95,1.93,1.82,1.86,1.895
