edges,b1,b2,b3,b4,median
16999,0.06,0.05,0.05,0.05,0.05
51000,0.06,0.06,0.06,0.08,0.06
153000,0.08,0.08,0.08,0.09,0.08
459000,0.14,0.15,0.15,0.15,0.15
1377000,0.33,0.34,0.32,0.26,0.325
4131000,0.84,0.8,0.85,0.78,0.82
12393000,2.05,2.13,2.13,2.08,2.105
