edges,b1,b2,b3,b4,median
16999,0.03,0.03,0.03,0.02,0.03
51000,0.04,0.04,0.05,0.04,0.04
153000,0.05,0.05,0.06,0.05,0.05
459000,0.1,0.09,0.1,0.1,0.1
1377000,0.22,0.22,0.21,0.22,0.22
4131000,0.59,0.59,0.6,0.6,0.595
12393000,1.67,1.67,1.66,1.65,1.665
