edges,b1,b2,b3,b4,median
16999,0.48,0.39,0.32,0.54,0.435
51000,0.22,0.27,0.29,0.26,0.265
153000,0.23,0.29,0.25,0.24,0.245
459000,0.4,0.32,0.33,0.33,0.33
1377000,0.57,0.67,0.67,0.49,0.62
4131000,1.41,1.29,1.3,1.15,1.295
12393000,3.16,3.3,3.03,3.09,3.125
