edges,b1,b2,b3,b4,median
16999,0.08,0.09,0.08,0.08,0.08
51000,0.1,0.09,0.1,0.1,0.1
153000,0.13,0.15,0.13,0.13,0.13
459000,0.23,0.24,0.23,0.23,0.23
1377000,0.53,0.53,0.54,0.52,0.53
4131000,1.41,1.45,1.41,1.41,1.41
12393000,4.03,4.03,4.01,4.03,4.03
