edges,b1,b2,b3,b4
1019,0.00,0.00,0.00,0.00
3060,0.00,0.00,0.00,0.00
9180,0.00,0.00,0.00,0.00
27540,0.00,0.00,0.00,0.00
82620,0.00,0.00,0.00,0.00
519690,0.01,0.01,0.01,0.02
