edges,b1,b2,b3,b4
1019,0.04,0.07,0.03,0.09
3060,0.09,0.08,0.08,0.10
9180,0.08,0.10,0.09,0.06
27540,0.09,0.09,0.07,0.08
82620,0.06,0.08,0.09,0.06
519690,0.10,0.05,0.11,0.09
