edges,b1,b2,b3,b4
33999,0.03,0.04,0.03,0.03
102000,0.04,0.05,0.04,0.04
306000,0.06,0.06,0.07,0.06
918000,0.10,0.10,0.09,0.10
2754000,0.21,0.22,0.22,0.23
57798300,3.73,3.73,3.72,3.75
