edges,b1,b2,b3,b4
33999,0.06,0.05,0.05,0.06
102000,0.06,0.08,0.07,0.06
306000,0.10,0.09,0.09,0.09
918000,0.14,0.12,0.13,0.12
2754000,0.33,0.32,0.96,0.25
57798300,4.71,4.71,5.09,4.52
