edges,b1,b2,b3,b4
33999,0.49,0.38,0.42,0.59
102000,0.42,0.33,0.60,0.24
306000,0.50,0.26,0.31,0.24
918000,0.36,0.30,0.33,0.19
2754000,0.43,0.68,0.81,0.59
57798300,6.32,6.76,6.54,6.31
