edges,b1,b2,b3,b4
33999,0.04,0.04,0.04,0.04
102000,0.05,0.04,0.05,0.05
306000,0.08,0.07,0.06,0.05
918000,0.11,0.10,0.13,0.11
2754000,0.24,0.22,0.22,0.23
57798300,3.85,3.93,3.78,3.91
