edges,b1,b2,b3,b4,median
101999,0.14,0.16,0.15,0.15,0.15
306000,0.21,0.16,0.16,0.16,0.16
918000,0.15,0.17,0.15,0.15,0.15
2754000,0.27,0.26,0.26,0.26,0.26
8262000,0.62,0.56,0.58,0.75,0.6
24786000,1.58,1.53,1.57,1.55,1.56
74358000,4.55,4.69,4.33,4.38,4.465
