edges,b1,b2,b3,b4,median
101999,0.08,0.08,0.08,0.08,0.08
306000,0.11,0.1,0.1,0.11,0.105
918000,0.14,0.23,0.14,0.14,0.14
2754000,0.24,0.24,0.24,0.26,0.24
8262000,0.56,0.55,0.55,0.55,0.55
24786000,1.54,1.52,1.54,1.53,1.535
74358000,4.15,4.15,4.3,4.15,4.15
