edges,b1,b2,b3,b4,median
101999,0.25,0.3,0.25,0.31,0.275
306000,0.22,0.22,0.22,0.21,0.22
918000,0.2,0.21,0.19,0.21,0.205
2754000,0.34,0.34,0.29,0.4,0.34
8262000,0.73,0.82,0.8,0.86,0.81
24786000,2.13,2.08,1.95,2.02,2.05
74358000,5.26,5.35,5.28,5.35,5.315
