edges,b1,b2,b3,b4
16999,0.48,0.44,0.42,0.44
51000,0.39,0.44,0.45,0.48
153000,0.51,0.41,0.48,0.52
459000,0.76,0.65,0.77,0.70
1377000,1.14,1.23,1.21,1.41
4131000,2.89,2.85,3.06,3.00
12393000,8.31,7.87,7.86,7.79
