edges,b1,b2,b3,b4
16999,0.11,0.10,0.11,0.09
51000,0.10,0.11,0.10,0.10
153000,0.15,0.19,0.14,0.15
459000,0.25,0.29,0.29,0.25
1377000,0.55,0.54,0.55,0.55
4131000,1.69,1.75,1.53,1.47
12393000,4.16,4.33,4.22,4.29
