edges,b1,b2,b3,b4
16999,0.19,0.20,0.19,0.17
51000,0.22,0.19,0.23,0.22
153000,0.17,0.23,0.22,0.25
459000,0.34,0.39,0.31,0.36
1377000,0.67,0.71,0.73,0.75
4131000,1.74,1.90,1.91,1.88
12393000,5.09,5.32,5.05,5.17
