edges,s1,s2,s3,s4,s5
30000,0.024461,0.023457,0.02438,0.023712,0.025461
90000,0.064853,0.078989,0.072872,0.074459,0.073233
270000,0.16719,0.131073,0.150678,0.148924,0.137389
810000,0.246674,0.270816,0.239287,0.282173,0.224585
2430000,0.527576,0.459411,0.449984,0.472325,0.485914
7290000,1.05513,1.04186,1.08098,1.0438,1.08695
21870000,2.74419,2.70693,2.79767,2.8071,2.78588
