edges,s1,s2,s3,s4,s5
30000,583756,579041,583411,581013,580799
90000,1440465,1305327,1343657,1494626,1616366
270000,2024388,1977006,2294934,2190329,2137611
810000,3316872,3585429,3125829,3611954,3061949
2430000,7166985,6528008,6177242,6510381,6653325
7290000,15816724,15518106,16013552,15705690,15997009
21870000,43360937,43349920,43279491,43428274,43279135
