edges,b1,b2,b3,b4
16999,0.06,0.05,0.05,0.05
51000,0.06,0.06,0.06,0.08
153000,0.08,0.08,0.08,0.09
459000,0.14,0.15,0.15,0.15
1377000,0.33,0.34,0.32,0.26
14449150,2.60,2.77,2.30,2.41
