edges,b1,b2,b3,b4
16999,0.03,0.04,0.04,0.03
51000,0.04,0.04,0.04,0.04
153000,0.06,0.06,0.06,0.06
459000,0.10,0.12,0.10,0.10
1377000,0.23,0.28,0.22,0.22
14449150,2.05,1.90,1.93,1.94
