edges,b1,b2,b3,b4
16999,0.48,0.39,0.32,0.54
51000,0.22,0.27,0.29,0.26
153000,0.23,0.29,0.25,0.24
459000,0.40,0.32,0.33,0.33
1377000,0.57,0.67,0.67,0.49
14449150,3.64,3.57,3.31,3.54
