edges,b1,b2,b3,b4
16999,0.03,0.03,0.03,0.02
51000,0.04,0.04,0.05,0.04
153000,0.05,0.05,0.06,0.05
459000,0.10,0.09,0.10,0.10
1377000,0.22,0.22,0.21,0.22
14449150,1.88,1.87,1.87,1.87
