edges,b1,b2,b3,b4
10199,0.05,0.18,0.10,0.05
30600,0.10,0.11,0.19,0.08
91800,0.09,0.09,0.03,0.02
275400,0.10,0.10,0.09,0.10
826200,0.13,0.09,0.11,0.08
52014900,1.92,2.02,2.01,1.93
