edges,b1,b2,b3,b4
10199,0.00,0.01,0.01,0.01
30600,0.01,0.01,0.01,0.01
91800,0.01,0.01,0.01,0.01
275400,0.00,0.02,0.02,0.02
826200,0.04,0.02,0.03,0.03
52014900,1.29,1.52,1.59,1.21
