edges,b1,b2,b3,b4
10199,0.00,0.00,0.00,0.01
30600,0.01,0.01,0.01,0.01
91800,0.01,0.01,0.01,0.01
275400,0.01,0.01,0.02,0.01
826200,0.03,0.02,0.02,0.02
52014900,1.15,1.21,1.09,1.10
