edges,b1,b2,b3,b4,median
33999,0.2,0.2,0.22,0.17,0.2
102000,0.23,0.21,0.23,0.21,0.22
306000,0.23,0.21,0.22,0.21,0.215
918000,0.4,0.29,0.28,0.3,0.295
2754000,0.82,0.82,0.78,0.83,0.82
8262000,1.96,1.99,1.89,1.97,1.965
24786000,5.13,5.4,5.16,5.46,5.28
