edges,b1,b2,b3,b4,median
33999,0.52,0.76,0.61,0.52,0.565
102000,0.42,0.45,0.43,0.49,0.44
306000,0.47,0.49,0.44,0.42,0.455
918000,0.63,0.63,0.66,0.72,0.645
2754000,1.36,2,1.2,1.35,1.355
8262000,2.99,2.9,3.39,2.88,2.945
24786000,7.91,8.47,8.06,8.13,8.095
