edges,s1,s2,s3,s4,s5
30000,0.018517,0.017403,0.017361,0.017534,0.017462
5026500,1.92761,1.88724,1.87953,1.89353,1.91191
10023000,4.14277,4.16246,4.15879,4.13723,4.091
15019500,6.42827,6.50816,6.49746,6.53942,6.54566
20016000,9.03712,8.96827,9.08199,9.04579,9.04338
25012500,11.6181,11.4773,11.4479,11.5973,11.6272
30009000,14.309,14.3106,14.4223,14.4205,14.5206
35005500,17.2184,17.1535,17.1367,17.2249,17.252
40002000,20.2059,20.1689,19.5754,19.8595,20.1565
44998500,23.1863,23.1704,23.1486,23.0942,23.3458
49995000,26.1563,26.2572,26.1456,25.9487,26.2315
