edges,s1,s2,s3,s4,s5
30000,0.020606,0.022444,0.020899,0.021706,0.020919
5026500,1.68338,1.68961,1.66609,1.6909,1.68486
10023000,3.41628,3.37544,3.45373,3.37391,3.49678
15019500,5.51205,5.51075,5.48869,5.46325,5.91568
20016000,7.9488,7.94192,7.94962,7.95246,7.92606
25012500,10.3937,10.3977,10.5163,10.3765,11.0052
30009000,13.251,13.2089,13.2402,13.217,13.2105
35005500,16.0811,15.3186,15.9171,16.2055,16.2461
40002000,19.1823,19.1197,19.5419,19.1333,19.23
44998500,22.1464,22.0811,22.1185,22.0993,21.6291
49995000,25.236,25.0702,25.1066,25.1837,24.9921
