edges,s1,s2,s3,s4,s5
30000,0.027857,0.028063,0.02786,0.031061,0.028404
5026500,1.84518,1.75255,1.74582,1.74386,1.75248
10023000,3.57437,3.57184,3.57835,3.6103,3.57683
15019500,5.58199,5.63528,5.58135,5.68839,5.63381
20016000,8.01647,8.03437,8.04489,7.9022,8.02567
25012500,10.6114,10.473,10.5653,10.5054,10.5426
30009000,13.314,13.3096,13.3747,13.3949,13.2726
35005500,17.2908,16.1437,16.2591,16.1732,16.2444
40002000,19.2364,18.4503,18.5204,18.2635,19.1082
44998500,22.1029,22.2524,22.1368,22.1309,22.1716
49995000,25.2152,25.2878,25.1596,25.0876,24.7594
