edges,s1,s2,s3,s4,s5
30000,0.039869,0.038916,0.038555,0.039323,0.039141
5026500,1.76017,1.73335,1.75642,1.73552,1.80652
10023000,3.61799,3.64485,3.62354,3.685,3.6655
15019500,5.73729,5.66658,5.66972,5.67245,5.68609
20016000,8.13621,8.06095,8.12303,7.9788,8.08804
25012500,10.6386,10.5742,10.5697,10.6183,10.6212
30009000,13.5414,13.4423,13.5167,12.8765,13.1868
35005500,16.3401,16.3225,16.3427,16.2446,16.3386
40002000,19.1843,19.2305,19.3353,19.4141,19.3544
44998500,22.2916,22.2364,21.3982,21.6667,22.3944
49995000,25.2111,25.4434,25.2313
