edges,s1,s2,s3,s4,s5
30000,933078,932191,932926,933658,933376
5026500,10971052,10971963,10972450,10975286,10970135
10023000,20958663,20956222,20957249,20958720,20960010
15019500,30941656,30940278,30935069,30937887,30937425
20016000,40915607,40918771,40919633,40909998,40922195
25012500,50900922,50894657,50901599,50899375,50895989
30009000,60889920,60889104,60892613,60887287,60885404
35005500,70855180,70859950,70861978,70867153,70857631
40002000,80827109,80830836,80825274,80833540,80825663
44998500,90791305,90787782,90789863,90798226,90789409
49995000,100746906,100751555,100752304,100757350,100747230
