edges,s1,s2,s3,s4,s5
30000,377464,377470,376369,375778,377875
5026500,10462411,10460719,10462350,10463151,10461918
10023000,20467296,20468436,20467832,20465655,20467483
15019500,30466468,30465927,30466350,30464702,30465631
20016000,40460804,40461217,40460274,40460170,40462023
25012500,50454073,50456162,50454047,50455149,50456698
30009000,60439497,60441014,60440307,60438851,60440319
35005500,70428471,70428154,70429388,70430341,70431195
40002000,80412778,80414728,80411957,80414680,80416414
44998500,90397105,90398466,90399222,90399866,90399773
49995000,100381078,100382782,100382674,100384366,100382353
